Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,AD_Won%
31,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,4,0,0,17,16,0,1,33,26,0,2,0,248,59,50,54.1
32,Ola Aina\Ola-Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,8,0,0,26,35,2,70,26,28,0,0,0,165,26,23,53.1
33,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6,1,0,0,10,3,0,1,5,7,0,0,0,79,8,7,53.3
34,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,3,0,0,11,12,0,38,13,18,0,0,0,143,19,8,70.4
35,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,eng Premier League,22,1997,1.5,0,0,0,6,0,2,0,1,0,0,0,0,4,1,9,10
36,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,3,0,0,37,21,4,18,3,14,1,1,0,74,112,71,61.2
37,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,2,0,0,11,23,0,0,18,23,0,0,1,231,41,31,56.9
38,Marley Aké\Marley-Ake,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,1,0,0,3,3,0,1,2,2,0,0,0,7,0,4,0
39,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,2,0,0,9,13,3,2,27,11,0,0,0,247,64,58,52.5
40,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6,1,0,0,9,8,2,7,5,13,0,0,0,35,4,10,28.6
41,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,2,0,0,8,13,1,1,11,11,0,1,1,121,21,26,44.7
42,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,0,0,0,10,7,1,25,11,17,0,0,0,328,22,27,44.9
43,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,3,0,0,14,26,2,27,18,30,0,1,1,148,8,20,28.6
44,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13,6,0,0,23,13,18,5,2,2,0,0,0,49,34,51,40
45,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,7,0,0,18,18,5,79,25,14,0,0,1,211,10,14,41.7
46,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,5,0,0,20,38,1,44,16,34,0,0,0,292,8,15,34.8
47,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,9,0,0,30,25,2,4,17,33,0,2,0,338,78,41,65.5
48,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,2,0,0,8,11,1,49,9,11,0,1,0,90,2,5,28.6
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,1,0,0,4,11,13,3,2,2,1,0,0,40,8,18,30.8
50,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,0,0,0,2,3,7,2,2,2,0,0,0,17,4,15,21.1
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,7,0,0,24,14,0,7,23,38,0,0,0,305,29,38,43.3
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,10,0,0,37,57,0,12,16,36,0,2,0,283,43,43,50
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,7,0,0,18,4,1,8,11,24,0,0,1,322,76,54,58.5
54,Haitam Aleesami\Haitam-Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,4,0,0,31,9,1,36,26,28,0,0,0,197,38,22,63.3
55,Álex Alegría\Alex-Alegria,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,0,0,0,5,4,1,0,1,0,0,0,0,5,11,9,55
56,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,0,0,0,3,2,0,0,0,1,0,0,0,12,2,3,40
57,Carles Aleñá\Carles-Alena,es ESP,MFFW,Betis,es La Liga,21,1998,8.2,1,0,0,9,19,3,2,1,11,0,0,0,55,4,11,26.7
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10,0,0,0,0,2,0,0,0,0,0,0,0,45,0,0,
59,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,5,0,0,22,9,3,183,34,25,0,0,0,352,14,32,30.4
60,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,1,0,0,24,34,5,14,4,11,0,0,0,67,43,63,40.6
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,1,0,1,1,0,0,1,0,0,0,0,153,0,0,
63,Allan\Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,3,0,0,30,24,0,9,5,36,0,0,0,123,10,7,58.8
64,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,20.5,2,0,0,12,33,6,5,7,29,0,0,0,157,17,32,34.7
65,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,33.6,5,0,0,30,58,24,38,20,36,0,0,0,228,9,37,19.6
66,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,4,0,0,16,15,2,51,14,19,1,0,0,183,42,31,57.5
67,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,2,0,0,14,13,1,26,13,19,0,0,1,101,35,9,79.5
68,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,27,1992,12.7,6,0,0,24,7,0,3,9,20,0,0,0,143,24,34,41.4
69,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
70,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,2,0,0,18,32,1,11,34,25,0,1,0,326,88,61,59.1
71,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,4,0,0,24,12,1,16,15,11,0,2,0,256,88,23,79.3
72,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,20,1998,13.2,1,0,0,17,18,3,11,10,23,0,0,0,137,14,11,56
73,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,8.4,1,0,0,8,2,0,1,11,7,0,1,0,75,15,14,51.7
74,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,2,0,0,15,6,0,3,5,9,0,0,0,82,20,17,54.1
75,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,5,0,0,26,43,0,11,17,22,0,0,0,214,11,13,45.8
76,Amath\Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,0,0,0,3,4,0,0,1,0,0,0,0,8,1,1,50
77,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24,9,0,0,41,19,1,32,30,28,0,1,0,219,72,19,79.1
78,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,1,0,0,7,9,1,12,4,5,0,0,0,50,21,18,53.8
79,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,3,0,0,23,8,0,9,12,15,0,1,0,132,20,17,54.1
80,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,20.6,3,0,0,27,39,3,32,14,13,1,0,0,198,7,21,25
81,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0,0,0,0,0,0,0,0,3,0,0,0,8,3,0,100
82,Opoku Ampomah\Opoku-Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,1,0,0,16,5,8,7,3,6,0,0,0,33,4,9,30.8
83,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,10,2,0,63,60,0,28,27,42,1,0,0,356,24,41,36.9
84,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17,3,0,0,17,3,0,3,8,10,0,1,0,170,56,25,69.1
85,Djavan Anderson\Djavan-Anderson,nl NED,DFMF,Lazio,it Serie A,24,1995,1.9,1,0,0,4,1,0,2,1,1,0,0,0,19,1,2,33.3
86,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,16.6,1,0,0,17,23,2,32,14,30,0,0,0,135,4,24,14.3
87,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,5,0,0,61,40,21,24,6,11,0,0,0,123,229,215,51.6
88,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,eng Premier League,26,1993,0.8,0,1,0,2,3,0,1,0,2,0,0,0,7,2,3,40
89,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,6,0,0,55,37,0,10,45,63,0,0,0,323,70,49,58.8
90,Lorenzo Andrenacci\Lorenzo-Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,
91,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,13,1,1,66,38,0,29,37,46,2,0,0,401,51,36,58.6
92,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,0,0,0,19,26,0,2,9,16,0,0,0,127,5,14,26.3
93,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,0,0,0,16,8,3,2,1,1,0,0,0,31,21,43,32.8
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,4,0,0,21,13,0,108,27,31,0,1,0,311,47,27,63.5
96,Angeliño\Angelino,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,1,0,0,2,2,0,30,5,5,0,0,0,49,8,8,50
97,Angeliño\Angelino,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,2,0,0,12,16,3,44,10,8,0,0,0,118,10,16,38.5
98,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
99,Peter Ankersen\Peter-Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,2,0,0,9,12,1,17,9,5,0,0,0,73,9,4,69.2
100,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,32,1986,19.6,9,0,0,28,30,4,123,12,27,0,0,0,154,14,16,46.7
101,Janis Antiste\Janis-Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,
102,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,3,0,0,40,35,12,52,8,10,0,0,0,95,76,115,39.8
103,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,31,1987,11.4,1,0,0,18,7,1,32,19,16,0,0,0,71,10,8,55.6
104,Mirko Antonucci\Mirko-Antonucci,it ITA,FWMF,Roma,it Serie A,20,1999,0.9,1,0,0,2,1,0,2,3,2,0,0,0,7,0,0,
105,Vitorino Antunes\Vitorino-Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
106,Christopher Antwi-Adjei\Christopher-Antwi-Adjei,gh GHA,MFFW,Paderborn 07,de Bundesliga,25,1994,27.4,2,0,0,16,40,4,47,11,20,0,0,0,170,24,37,39.3
107,Anuar\Anuar,ma MAR,MFFW,Valladolid,es La Liga,24,1995,2.1,1,0,0,3,5,0,1,3,4,0,0,0,25,2,5,28.6
108,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,3,0,0,24,42,2,21,11,19,0,0,0,137,15,13,53.6
109,Adil Aouchiche\Adil-Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,0,0,0,1,0,0,0,0,2,0,0,0,6,0,0,
110,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,2,0,0,26,7,0,25,15,32,0,0,0,190,22,14,61.1
111,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,11,1,1,79,63,0,32,26,49,0,0,0,447,63,73,46.3
112,Guilherme Arana\Guilherme-Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,0,0,0,2,4,0,3,1,2,0,0,0,9,0,0,
113,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,2,0,0,15,44,0,6,23,31,0,0,0,303,13,25,34.2
114,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,23,1996,9.2,1,0,0,13,23,0,20,5,9,1,0,0,77,6,8,42.9
115,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,10,0,0,27,10,0,2,38,27,0,0,0,278,91,36,71.7
116,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0,1,0,2,1,0,0,0,2,0,0,0,18,5,3,62.5
117,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,5,0,0,22,12,0,18,15,20,0,0,0,319,56,28,66.7
118,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4,1,0,0,1,0,0,0,0,0,0,1,0,24,0,0,
119,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,
120,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12,1,0,0,8,16,1,36,9,17,0,0,0,104,21,20,51.2
121,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,18,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,4,0,0,26,20,4,14,9,25,0,0,0,169,10,29,25.6
123,José Arnaiz\Jose-Arnaiz,es ESP,FWMF,Osasuna,es La Liga,24,1995,8.8,2,0,0,11,17,5,6,5,3,0,0,0,46,8,25,24.2
124,José Arnaiz\Jose-Arnaiz,es ESP,MFFW,Leganés,es La Liga,24,1995,3.7,2,0,0,9,6,1,10,2,3,0,0,0,33,1,5,16.7
125,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,8,0,0,52,69,0,63,23,35,0,0,0,350,23,20,53.5
126,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33,0,0,0,0,5,0,0,0,0,0,0,0,138,0,0,
127,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,it Serie A,30,1988,7.1,1,0,0,6,6,2,14,10,5,0,0,0,67,3,4,42.9
128,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7,2,0,0,11,5,0,1,8,22,0,0,0,99,7,11,38.9
129,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34,2,0,0,2,5,0,0,0,0,0,1,0,137,0,0,
130,Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,0,0,0,2,4,1,9,2,4,0,0,0,19,3,5,37.5
131,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,2,1,1,4,0,0,0,0,1,0,0,0,6,0,1,0
132,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,9,0,0,25,66,20,36,19,21,2,0,0,160,24,67,26.4
133,Roger Assalé\Roger-Assale,ci CIV,FWMF,Leganés,es La Liga,25,1993,5.9,1,0,0,8,11,7,6,0,1,3,0,0,18,2,11,15.4
134,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,,,0.3,0,0,0,2,1,0,0,1,1,0,0,0,2,2,0,100
135,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,eng Premier League,27,1992,8.3,2,0,0,11,10,4,15,7,9,0,0,0,50,7,12,36.8
136,Youcef Attal\Youcef-Attal,dz ALG,FWDF,Nice,fr Ligue 1,23,1996,11.1,5,0,0,15,25,4,30,17,17,1,1,0,70,14,9,60.9
137,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,3,1,0,14,20,20,84,9,24,0,0,0,125,37,59,38.5
138,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36,1,0,0,0,5,0,0,0,0,0,0,1,140,0,0,
139,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,2,0,0,7,4,1,65,8,13,0,0,0,119,15,5,75
140,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3,0,0,0,2,7,4,0,4,0,1,0,0,11,0,8,0
141,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,25,1994,10.3,2,0,0,18,12,1,35,8,18,0,0,0,85,21,15,58.3
142,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30,4,1,1,40,22,6,98,29,55,0,2,1,320,67,67,50
143,Mathias Autret\Mathias-Autret,fr FRA,MFFW,Brest,fr Ligue 1,28,1991,13.6,3,0,0,13,6,0,30,10,11,0,0,0,90,5,15,25
144,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,6,0,0,46,43,24,28,4,16,1,0,0,88,47,82,36.4
145,Javier Avilés\Javier-Aviles,es ESP,MFFW,Leganés,es La Liga,21,1997,2,1,0,0,5,2,2,12,1,3,0,0,0,16,2,5,28.6
146,Chidozie Awaziem\Chidozie-Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,10,0,0,22,14,2,8,12,26,0,0,0,186,50,48,51
147,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Mainz 05,de Bundesliga,21,1997,5.4,1,0,0,5,3,3,9,2,2,0,1,0,27,12,24,33.3
148,Florian Ayé\Florian-Aye,fr FRA,FWMF,Brescia,it Serie A,22,1997,15.3,4,1,1,19,22,5,5,2,13,1,0,0,69,48,62,43.6
149,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,27,1991,35,6,0,0,59,105,9,20,14,29,0,0,0,212,59,175,25.2
150,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,1994,30.3,10,0,0,36,21,3,17,37,33,0,1,0,283,43,53,44.8
151,Ramon Azeez\Ramon-Azeez,ng NGA,MF,Granada,es La Liga,26,1992,15.1,3,0,0,29,19,1,3,15,14,0,0,0,128,19,28,40.4
152,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29,1989,35.9,1,0,0,41,15,3,110,39,61,0,0,0,380,94,60,61
153,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,33,1986,9.2,1,0,0,10,15,1,20,14,21,0,1,0,112,21,13,61.8
154,Iddrisu Baba\Iddrisu-Baba,gh GHA,MF,Mallorca,es La Liga,23,1996,32.3,6,0,0,41,59,1,3,23,45,0,3,1,404,70,76,47.9
155,Khouma Babacar\Khouma-Babacar,sn SEN,FW,Lecce,it Serie A,26,1993,15.8,4,0,0,35,32,7,4,2,9,3,0,0,64,26,63,29.2
156,Carlos Bacca\Carlos-Bacca,co COL,FWMF,Villarreal,es La Liga,32,1986,7.6,1,0,0,8,6,7,3,1,1,1,0,0,26,7,12,36.8
157,Milan Badelj\Milan-Badelj,hr CRO,MF,Fiorentina,it Serie A,30,1989,17.6,3,1,1,17,19,0,2,26,26,0,0,0,178,11,15,42.3
158,Matthias Bader\Matthias-Bader,de GER,DF,Köln,de Bundesliga,22,1997,0.1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,
159,Bastian Badu\Bastian-Badu,fr FRA,FW,Montpellier,fr Ligue 1,19,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50
160,Alejandro Baena\Alejandro-Baena,es ESP,MF,Villarreal,es La Liga,18,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
161,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,27,1992,10.1,3,0,0,24,12,6,15,1,4,0,0,0,34,10,36,21.7
162,Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,de Bundesliga,35,1984,21.6,6,0,0,31,38,0,5,32,23,0,0,0,326,29,23,55.8
163,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,21,1997,12.1,0,2,0,16,18,6,48,6,4,0,0,0,89,11,14,44
164,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,25,1994,1.7,0,0,0,2,0,0,0,2,0,0,1,0,22,6,1,85.7
165,Dénys Bain\Denys-Bain,fr FRA,DF,Brest,fr Ligue 1,26,1993,14.1,3,1,0,8,5,1,0,16,19,0,0,0,88,38,15,71.7
166,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,eng Premier League,34,1984,4.5,0,0,0,1,4,0,12,2,6,0,0,0,29,6,6,50
167,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
168,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Monaco,fr Ligue 1,24,1994,19.1,4,1,0,34,58,0,14,28,49,0,0,0,192,25,15,62.5
169,Lewis Baker\Lewis-Baker,eng ENG,MF,Düsseldorf,de Bundesliga,24,1995,6.1,1,0,0,8,7,0,2,4,4,0,0,1,56,3,2,60
170,Mitchel Bakker\Mitchel-Bakker,nl NED,DF,Paris S-G,fr Ligue 1,19,2000,1,1,0,0,1,0,0,0,0,3,0,0,0,5,0,1,0
171,Ridle Baku\Ridle-Baku,de GER,DFMF,Mainz 05,de Bundesliga,21,1998,26.1,5,1,0,33,41,2,68,36,35,0,0,0,285,23,37,38.3
172,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,27,1991,13.1,2,0,0,6,2,0,1,15,11,0,0,0,142,46,28,62.2
173,Keita Baldé\Keita-Balde,sn SEN,FWMF,Monaco,fr Ligue 1,24,1995,9.5,4,0,0,12,15,5,14,3,8,1,0,0,46,27,34,44.3
174,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,26,1993,38,7,0,0,47,44,11,96,30,45,1,0,0,303,37,55,40.2
175,Gareth Bale\Gareth-Bale,wal WAL,FWMF,Real Madrid,es La Liga,30,1989,12.1,4,1,1,16,10,5,51,4,7,0,0,0,42,22,12,64.7
176,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,31,1988,6.3,1,0,0,6,3,0,6,4,5,0,0,0,64,11,2,84.6
177,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DFMF,Dortmund,de Bundesliga,20,1999,1.5,1,0,0,1,0,0,0,5,1,0,0,0,18,1,3,25
178,Marco Ballarini\Marco-Ballarini,it ITA,MF,Udinese,it Serie A,18,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
179,Fodé Ballo-Touré\Fode-Ballo-Toure,fr FRA,DF,Monaco,fr Ligue 1,22,1997,18.7,4,0,0,17,22,4,51,22,24,0,1,1,134,17,9,65.4
180,Florent Balmont\Florent-Balmont,fr FRA,MF,Dijon,fr Ligue 1,39,1980,4.5,1,0,0,4,7,0,3,2,9,0,0,0,56,1,4,20
181,Mario Balotelli\Mario-Balotelli,it ITA,FW,Brescia,it Serie A,28,1990,15.6,6,1,0,32,51,7,12,5,2,0,0,0,64,36,32,52.9
182,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,29,1990,6.2,2,0,0,4,2,0,13,2,6,0,0,0,45,5,5,50
183,Jonathan Bamba\Jonathan-Bamba,fr FRA,FWMF,Lille,fr Ligue 1,23,1996,21.5,1,0,0,15,45,5,22,14,10,2,0,0,178,8,13,38.1
184,Éver Banega\Ever-Banega,ar ARG,MF,Sevilla,es La Liga,31,1988,27.5,10,0,0,31,57,2,46,14,30,0,0,0,256,15,20,42.9
185,Mattia Bani\Mattia-Bani,it ITA,DF,Bologna,it Serie A,25,1993,24.5,13,1,1,44,35,1,4,28,33,0,1,0,233,102,65,61.1
186,Antonín Barák\Antonin-Barak,cz CZE,MF,Udinese,it Serie A,24,1994,2.2,1,0,0,9,4,0,2,0,1,0,0,0,23,3,0,100
187,Antonín Barák\Antonin-Barak,cz CZE,MF,Lecce,it Serie A,24,1994,15.2,0,0,0,12,9,2,17,3,18,0,0,0,115,18,28,39.1
188,Federico Barba\Federico-Barba,it ITA,DF,Valladolid,es La Liga,25,1993,5,3,0,0,8,5,0,5,5,8,0,0,0,31,7,2,77.8
189,Danilo Barbosa\Danilo-Barbosa,br BRA,DFMF,Nice,fr Ligue 1,23,1996,12.5,4,0,0,16,21,0,3,9,15,0,0,0,97,14,16,46.7
190,Melvin Bard\Melvin-Bard,fr FRA,DF,Lyon,fr Ligue 1,18,2000,0.5,0,0,0,0,0,0,1,0,0,0,0,0,8,2,0,100
191,Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,es La Liga,24,1995,23.5,5,0,0,46,45,4,24,15,27,1,0,0,156,3,30,9.1
192,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,eng Premier League,34,1985,21,6,0,0,36,14,0,20,15,33,0,0,0,197,33,26,55.9
