Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,0,0,0,,0,0,,,0,0,0
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,3,44,12,27.3,1.24,0.34,0.07,0.25,0,0,0
3,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,0,1,1,100,0.07,0.07,0,0,0,0,0
4,Issah Abbas\Issah-Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,0,1,0,0,10,0,0,,0,0,0
5,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,0,18,4,22.2,0.47,0.11,0,0,0,0,0
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,3,35,11,31.4,1.56,0.49,0.06,0.18,0,1,1
7,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2000,0.4,0,1,0,0,2.81,0,0,,0,0,0
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,0,5,1,20,0.32,0.06,0,0,0,0,0
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,0,7,2,28.6,0.8,0.23,0,0,0,0,0
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,3,19,7,36.8,0.52,0.19,0.16,0.43,0,0,0
11,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,2,23,7,30.4,1.37,0.42,0.09,0.29,0,0,0
12,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8,0,3,1,33.3,0.37,0.12,0,0,0,0,0
13,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1,0,0,0,,0,0,,,0,0,0
14,Aday\Aday,es ESP,DFMF,Girona,es La Liga,30,1987,7.2,0,9,3,33.3,1.26,0.42,0,0,2,0,0
15,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,0,11,0,0,0.5,0,0,,0,0,0
16,Claud Adjapong\Claud-Adjapong,it ITA,MFDF,Sassuolo,it Serie A,20,1998,3,1,3,1,33.3,1,0.33,0.33,1,0,0,0
17,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,2.4,0,1,0,0,0.42,0,0,,0,0,0
18,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,1.8,0,3,0,0,1.63,0,0,,0,0,0
19,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,2,14,7,50,1.34,0.67,0,0,0,2,2
20,Luis Advíncula\Luis-Advincula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,1,17,5,29.4,0.64,0.19,0.06,0.2,0,0,0
21,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,0,2,0,0,0.09,0,0,,0,0,0
22,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,3,10,4,40,0.86,0.34,0.3,0.75,0,0,0
23,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,21,118,41,34.7,4.32,1.5,0.16,0.46,3,2,2
24,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,28.1,1,13,4,30.8,0.46,0.14,0.08,0.25,0,0,0
25,Juan Aguilera\Juan-Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,0,3,1,33.3,0.78,0.26,0,0,0,0,0
26,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,0,3,0,0,1.68,0,0,,0,0,0
27,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,0,14,3,21.4,1.17,0.25,0,0,0,0,0
28,Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,0,0,0,,0,0,,,0,0,0
29,Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,24,1,25,6,24,1.04,0.25,0.04,0.17,0,0,0
30,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,0,7,0,0,0.67,0,0,,0,0,0
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,0,10,1,10,0.84,0.08,0,0,0,0,0
32,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,0,0,0,,0,0,,,0,0,0
